"symbol","exchange","shortname"
"ACAI","OEM","SAFEPLUS INTL HLDGS LTD"
"ACAZF","PNK","Acadian Timber Corp"
"NCA","NYQ","Nuveen California Municipal Val"
"FCA","NGM","First Trust China AlphaDEX Fund"
"AMCA","NGM","iShares Russell 1000 Pure U.S. "
"ACT","NMS","Enact Holdings, Inc."
"SCA","NYQ","Stellus Capital Investment Corp"
"URGYF","PNK","BEDFORD METALS CORP."
"PACB","NMS","Pacific Biosciences of Californ"
"GTIP","BTS","Goldman Sachs Access Inflation "
"ARCB","NMS","ArcBest Corporation"
"ABCB","NYQ","Ameris Bancorp"
"ACNB","NCM","ACNB Corporation"
"PCB","NMS","PCB Bancorp"
"MCB","NYQ","Metropolitan Bank Holding Corp."
"CARA","NCM",NULL
"CPA","NYQ",NULL
"DTEV","OEM",NULL
"CCB","NMS","Coastal Financial Corporation"
"ACBM","OEM","ACRO BIOMEDICAL CO LTD"
"RCB","NYQ","Ready Capital Corporation 6.20%"
"ACBD","PNK","Annabidiol Corp."
"NACB","PNK","NATIONAL CAP BANCORP INC."
"ASCC","PNK","Aristocrat Group Corp"
"ACMB","PNK","Agro Capital Management Corp"
"ACRB","OEM","ASIA CARBON INDS INC"
"AMC","NYQ","AMC Entertainment Holdings, Inc"
"CACC","NMS","Credit Acceptance Corporation"
"CIA","NYQ",NULL
"CNA","NYQ",NULL
"CFA","NGM",NULL
"CZA","PCX",NULL
"ARCC","NMS","Ares Capital Corporation"
"ACIC","NCM","American Coastal Insurance Corp"
"CC","NYQ","Chemours Company (The)"
"BCC","NYQ","Boise Cascade, L.L.C."
"ARAY","NMS","Accuray Incorporated"
"CPB","NMS",NULL
"ECC","NYQ","Eagle Point Credit Company Inc."
"AXDX","NCM","Accelerate Diagnostics, Inc."
"WCC","NYQ","WESCO International, Inc."
"ADC","NYQ","Agree Realty Corporation"
"ALC","NYQ","Alcon Inc."
"REW","PCX",NULL
"ACCD","NMS","Accolade, Inc."
"HCC","NYQ","Warrior Met Coal, Inc."
"ACCO","NYQ","Acco Brands Corporation"
"ASC","NYQ","Ardmore Shipping Corporation"
"AVUV","PCX","Avantis U.S. Small Cap Value ET"
"AVAL","NYQ","Grupo Aval Acciones y Valores S"
"WRLD","NMS","World Acceptance Corporation"
"ACEL","NYQ","Accel Entertainment, Inc."
"ATCC","OEM","AMERITRUST CORP"
"PASO","OEM","PATIENT ACCESS SOLUTIONS INC"
"CLB","NYQ",NULL
"FACO","OQX","First Acceptance Corp."
"CAC","NMS","Camden National Corporation"
"OCC","NGM","Optical Cable Corporation"
"GCC","PCX","WisdomTree EnhancedContinuous C"
"ACCR","PNK","Access-Power & Co Inc."
"UCC","PCX","ProShares Ultra Consumer Discre"
"CABO","NYQ",NULL
"RAVI","PCX","FlexShares Ultra-Short Income F"
"ACNV","OEM","ACCELERA INNOVATIONS INC"
"XTAP","BTS","Innovator U.S. Equity Accelerat"
"XBAP","BTS","Innovator U.S. Equity Accelerat"
"ACWRF","PNK","ACCELEWARE LTD"
"ITA","BTS","iShares U.S. Aerospace & Defens"
"DRW","PCX",NULL
"PACC","OEM","PACIFIC CMA INC"
"ACRFF","PNK","Accor SA Ltd."
"WACC","OEM","WESTAMERICA CORP"
"WAXS","OEM","WORLD ACCESS INC"
"AMD","NMS","Advanced Micro Devices, Inc."
"VPL","PCX",NULL
"MCD","NYQ","McDonald's Corporation"
"APD","NYQ","Air Products and Chemicals, Inc"
"AOD","NYQ","Aberdeen Total Dynamic Dividend"
"CCD","NGM","Calamos Dynamic Convertible & I"
"AVD","NYQ","American Vanguard Corporation"
"RCD","NYQ","Ready Capital Corporation 9.00%"
"AGD","NYQ","abrdn Global Dynamic Dividend F"
"SCD","NYQ","LMP Capital and Income Fund Inc"
"ATCD","OEM","ALTAIR CORP DEL"
"ICE","NYQ","Intercontinental Exchange Inc."
"BCE","NYQ","BCE, Inc."
"CANB","OQB",NULL
"CYB","PCX",NULL
"RACE","NYQ","Ferrari N.V."
"ARE","NYQ","Alexandria Real Estate Equities"
"ACRE","NYQ","Ares Commercial Real Estate Cor"
"AEE","NYQ","Ameren Corporation"
"AME","NYQ","AMETEK, Inc."
"TMFC","BTS",NULL
"CE","NYQ","Celanese Corporation"
"ACES","PCX","ALPS Clean Energy ETF"
"ALE","NYQ","Allete, Inc."
"ACET","NGM","Adicet Bio, Inc."
"CAE","NYQ","CAE Inc."
"KCE","PCX","SPDR S&P Capital Markets ETF"
"JCE","NYQ","Nuveen Core Equity Alpha Fund N"
"ACEJF","PNK","ACEA SPA"
"ANIOY","PNK","Acerinox S.A."
"ACNE","OEM","ALICE CONS MINES INC"
